p_market_H,p_market_D,p_market_A,elo_diff,form_diff,lam_diff,lam_sum,diff_model_market,outcome
0.3809100087270487,0.2898749123017163,0.329215078971235,0.0,-0.06666666666666667,-1.1616,3.0624000000000002,-0.0036903322616663736,0
0.3686977505817461,0.29733689563044036,0.3339653537878135,0.0,-0.1333333333333333,-0.1472,1.1328,-0.00805204863928205,2
0.36585365853658536,0.2926829268292683,0.3414634146341463,0.0,-0.06666666666666671,-0.08960000000000007,0.9344000000000001,-0.012788171263895254,2
0.43237783170524396,0.28337377893297533,0.28424838936178076,0.0,-0.06666666666666665,-0.5451428571428572,1.877714285714286,-0.0047364171081188955,0
0.2809884416102033,0.2801343733986221,0.4388771849911747,0.0,-0.4666666666666667,-1.8328125000000004,2.7609375000000007,-0.0051195657479063406,2
0.47534179312884567,0.27609673014070674,0.24856147673044754,0.0,0.33333333333333326,0.88125,2.521875,-0.008091689855618034,2
0.4939386028451981,0.27572095143896136,0.23034044571584056,0.0,0.39999999999999997,1.7390625,4.0359375,0.04757918959677265,0
0.5035066628409962,0.26785383517413464,0.22863950198486924,0.0,0.39999999999999997,0.6328125000000002,0.9140625000000002,-0.0403970553513881,1
0.5916184874511244,0.24416001069411492,0.16422150185476053,0.0,0.1333333333333333,-0.0865671641791046,1.3562189054726368,0.03706708516857582,1
0.35916825819188436,0.2911868844016223,0.3496448574064935,0.0,-0.06666666666666671,-0.9714759535655058,2.875953565505805,-0.01705694033285654,0
0.3011689691817216,0.2818278427205101,0.4170031880977683,0.0,-0.33333333333333337,-1.9333333333333333,3.837810945273632,0.00625839612413559,2
0.39382357437700666,0.2861947714416756,0.31998165418131785,0.0,0.33333333333333337,0.42321724709784414,3.06832504145937,-0.01241964879553814,1
0.5062096623496097,0.27338325978524913,0.2204070778651411,0.0,0.06666666666666665,0.5867330016583748,1.7409618573797676,-0.004289064647321705,1
0.3591901085624684,0.28847455593923244,0.35233533549829915,0.0,-0.4666666666666666,-2.567906066536203,4.195303326810175,-0.007729462940748721,0
0.3907082756417084,0.2945915432953456,0.31470018106294595,0.0,-0.1333333333333333,-0.8911937377690802,1.8211350293542072,-0.016102522465080538,0
0.5532059055404811,0.25591519729989015,0.1908788971596288,0.0,0.06666666666666665,1.3702544031311152,2.4270058708414872,0.0032413203115710942,2
0.5023483735877041,0.2581902255311105,0.2394614008811854,0.0,0.06666666666666671,0.9827788649706459,3.2019569471624267,0.03261083244920182,0
0.27028399405172093,0.28446556164085446,0.44525044430742444,0.0,-0.26666666666666666,-0.8609221466364322,1.9750566893424035,-0.01269159431810768,2
0.45003133895172215,0.2856236052170373,0.26434505583124074,0.0,-0.39999999999999997,-0.2987906273620561,1.5243386243386245,0.02001634192319668,0
0.5830207822706597,0.25306946043616546,0.1639097572931748,0.0,0.2,1.696523053665911,2.2029478458049887,-0.01899905737292129,1
0.530417379819679,0.26674168811741084,0.2028409320629102,0.0,0.2666666666666667,1.1749055177626608,2.3903250188964478,-0.004861157844144093,2
0.4262568422446286,0.29044630260201826,0.28329685515335323,0.0,-0.13333333333333341,0.027274909963985516,2.0728931572629055,0.007482319523232195,2
0.39398828224505394,0.28810393139169566,0.3179077863632504,0.0,0.0,-0.31133720930232567,1.5200581395348838,-0.009467193082090153,1
0.2596891599449144,0.2793625811528625,0.4609482589022231,0.0,-0.2,-2.1375,3.749127906976744,-0.007054714894570713,1
0.3527435610302352,0.2945128779395296,0.3527435610302352,0.0,0.13333333333333336,0.1530523255813956,3.2140988372093027,-0.005556314347677449,1
0.35422840012785844,0.29424723333304537,0.3515243665390962,0.0,-0.13333333333333336,-0.1935568820224719,2.018521769662921,-0.009936242287766572,0
0.6897248990730986,0.2017972412135267,0.10847785971337467,0.0,0.4666666666666667,1.856566011235955,2.488588483146067,0.0037955482961938847,0
0.5046895353886235,0.26089882761615285,0.23441163699522358,0.0,-0.2,0.7821278089887642,3.3892205056179776,0.06822735636684185,1
0.5110713013672061,0.27127245028581903,0.21765624834697483,0.0,0.6000000000000001,0.1316713483146068,1.6063904494382022,-0.03325083133565504,1
0.4941766662378948,0.2742167257759238,0.2316066079861813,0.0,-0.1333333333333333,0.4424157303370787,2.3384831460674156,0.009121500358275414,0
0.3909677419354839,0.30451612903225805,0.30451612903225805,0.0,0.1333333333333333,-0.1329880617977527,1.5524051966292136,-0.002907927665299348,1
0.28266069562127927,0.29720272497800104,0.42013657940071963,0.0,-0.8,-1.9421052631578943,2.984210526315789,0.005789251499523418,2
0.4485870206960379,0.28433515773348866,0.26707782157047344,0.0,0.06666666666666665,0.5578947368421054,2.9157894736842103,0.014650364994190257,1
0.4557383632347905,0.2829201459836772,0.26134149078153235,0.0,-0.39999999999999997,0.6210526315789473,3.084210526315789,0.04579335788558209,0
0.32052359793443014,0.29296265161522755,0.38651375045034225,0.0,0.1333333333333333,-0.5536842105263158,1.8042105263157893,-0.029473650424547082,0
0.4172217709179529,0.29553208773354994,0.28724614134849713,0.0,-0.2,-0.08903853348297797,1.3949370245666541,0.014647687479469595,0
0.6229140602444423,0.2407083052641709,0.1363776344913868,0.0,-0.06666666666666671,1.110861703454296,2.8068337697967327,0.05202991003907409,1
0.3485975958786491,0.2987979393245564,0.3526044647967945,0.0,-0.26666666666666666,-0.08055867315126564,1.57301409153261,-0.010123287790084201,2
0.5048088108438952,0.27576123099830696,0.21942995815779773,0.0,0.13333333333333336,0.8988651951614915,2.086045641601197,-0.004084252767753038,0
0.36863273076527286,0.28620553630844164,0.34516173292628544,0.0,0.13333333333333336,0.29762675296655905,2.0257820927723844,-0.026202701192444777,2
0.29054308187928246,0.2843044267469052,0.42515249137381234,0.0,0.06666666666666665,-0.976153846153846,2.346923076923077,-0.022432564802825905,2
0.31659574468085105,0.2982127659574468,0.3851914893617021,0.0,-0.06666666666666671,-0.4240384615384616,1.7567307692307694,-0.016086113308296235,0
0.5646600217712558,0.2523276391566375,0.18301233907210665,0.0,0.0,0.5881121495327106,2.1357757009345795,0.023175451147324333,0
0.48915320472654067,0.27679627453088673,0.23405052074257254,0.0,-0.20000000000000007,-0.3379065420560743,2.5510654205607475,0.04655311555830188,1
0.5138040042149631,0.2680716543730242,0.21812434141201262,0.0,0.3333333333333333,0.09285981308411229,1.9500560747663553,-0.013653274117156333,0
0.5531596757692611,0.26021877705201857,0.18662154717872037,0.0,-0.06666666666666671,0.19259813084112154,1.3963364485981307,0.003363708350744954,0
0.6763162346536704,0.2072826043569415,0.11640116098938799,0.0,0.4666666666666667,2.488299065420561,3.262130841121495,0.022191740634548207,0
0.5106684926452326,0.26714161031441364,0.2221898970403536,0.0,-0.3333333333333333,1.2370491803278694,3.004262295081968,0.038635484440199375,1
0.4930203445197945,0.2735750873151382,0.23340456816506724,0.0,0.06666666666666665,0.7184035476718406,1.9157427937915745,0.0068002204505464015,2
0.35911602209944754,0.287292817679558,0.35359116022099446,0.0,-0.19999999999999996,-1.0130631831511594,2.1860837110103972,-0.01566419472452235,1
0.25545531170979924,0.2753410545375082,0.4692036337526925,0.0,-0.6,-1.5742468675019996,2.717941882164756,0.013101931447799864,1
0.6224620071278226,0.23381821587542576,0.1437197769967516,0.0,0.0,1.0997067448680355,2.8592375366568916,0.0540162546596501,2
0.3036758316389806,0.29494393871645397,0.40138022964456566,0.0,-0.1333333333333333,-0.29325513196480946,1.3196480938416424,-0.01717868682918494,1
0.39972581276929103,0.29279279279279274,0.30748139443791617,0.0,-0.06666666666666665,0.11530258597707299,1.9814716075713146,-0.01849856502067576,0
0.4736710756176691,0.27327177439480904,0.25305714998752177,0.0,0.06666666666666665,0.1093041855505199,2.1487603305785123,-0.0045776919779819125,0
0.30291718045303295,0.2914139963851962,0.405668823161771,0.0,0.0,-0.8046525864707683,2.5177838996020814,-0.021952741079184268,1
0.4141766966281844,0.28594861717673414,0.29987468619508156,0.0,0.06666666666666665,-0.22711968166513596,2.3685338230792774,-0.006812350745507012,0
0.6950179094757408,0.1992184956040378,0.10576359492022143,0.0,0.19999999999999998,1.4173913043478263,2.0260869565217394,0.009912148697644119,0
0.480947850120067,0.2798242037062208,0.23922794617371212,0.0,0.0,0.4949665090622539,1.6545409771473603,-0.01617430141269688,0
0.3674672629926678,0.294678220482938,0.33785451652439413,0.0,0.4,-0.2029255319148935,2.116223404255319,-0.027247231156269813,1
0.5331393458285424,0.2650376632998213,0.20182299087163638,0.0,0.2,0.7913022064617814,2.680979117415288,0.03008333151617182,0
0.41146918880317535,0.28398947079973763,0.3045413403970871,0.0,-0.19999999999999996,-0.3167356185973206,2.0883077226162334,0.01798821024631958,1
0.5388309691218817,0.259549565408005,0.20161946547011328,0.0,0.1333333333333333,0.4924109447599383,2.7877129581827567,0.024409409251256675,0
0.41651846232293205,0.29542204036961955,0.28805949730744834,0.0,0.06666666666666665,0.0814900123108695,1.7112902585282554,-0.009653028837248445,1
0.38092350268201847,0.2862841231336909,0.33279237418429053,0.0,-0.19999999999999996,-0.3389003613835826,2.593985544656685,0.002941707758733425,0
0.2163465014823206,0.2587673841259129,0.5248861143917665,0.0,-0.2,-1.7038203407330927,3.0633453794527625,0.004648543845668152,2
0.3743129469886062,0.2979967150783079,0.3276903379330859,0.0,-0.2,-0.3180802103879026,1.8541748849441155,0.00424528213861286,1
0.48591075566185804,0.27976679871440313,0.23432244562373866,0.0,-0.5333333333333333,-0.1289030496131086,2.019481110605371,0.03157862099947584,0
0.4706197838492733,0.28208402946317296,0.2472961866875538,0.0,-0.1333333333333333,0.5333662064431298,1.8134451019066407,-0.005528188145143775,2
0.46390966566442887,0.27232455300065295,0.2637657813349181,0.0,0.0,0.8000493096646948,2.613494411571335,0.02135551788349893,0
0.36972100195674423,0.29793051613990074,0.332348481903355,0.0,-0.4,-0.32313327697943073,1.9112989574528036,0.012908739438394101,0
0.585594449629488,0.25006465686880835,0.16434089350170358,0.0,0.33333333333333337,0.5745873559638746,2.2345063843039554,0.015166008626114058,0
0.2364401287468184,0.262562409259923,0.5009974619932585,0.0,-0.06666666666666665,-1.0212812532065536,2.7194582207476827,-0.008043520406401466,2
0.5534632492447178,0.25674545173296626,0.18979129902231592,0.0,0.26666666666666666,0.8353485903031739,2.4573846879792383,0.012122898922968917,1
0.4278051841007787,0.28432590697159454,0.2878689089276268,0.0,-0.2666666666666667,-0.25249317156831597,2.034237438861717,0.027227803091758263,0
0.5508265029719649,0.2535311027377811,0.1956423942902539,0.0,-0.06666666666666665,0.8891706971806065,2.6144272737996936,0.0295926922186881,0
0.45377682283673304,0.27998995451628206,0.266233222646985,0.0,0.0,0.14077097505668967,2.317641723356009,-0.007887773911339435,1
0.5002937341491023,0.2705076585806193,0.22919860727027844,0.0,-0.2,0.26568986568986563,2.6568986568986572,0.03009056177653391,0
0.32744618646241175,0.30482654858178465,0.36772726495580366,0.0,0.06666666666666665,-0.5043083900226756,1.7814058956916101,-0.02455371696313935,0
0.3622013743548311,0.2969818342780769,0.3408167913670919,0.0,0.06666666666666671,-0.267392290249433,2.446439909297052,-0.010048125024607335,2
0.33819604134877823,0.2968730523736864,0.3649309062775355,0.0,-0.06666666666666665,-0.5188208616780045,2.195011337868481,-0.00920138870398668,2
0.46719254073448546,0.2867194097342481,0.2460880495312664,0.0,0.4,0.2423582766439909,1.6573242630385487,-0.03423361624374799,0
0.4547226547179006,0.2822895991062196,0.2629877461758798,0.0,0.1333333333333333,0.146354609929078,2.2371347517730493,-0.015333175795060605,0
0.3849030941856511,0.28867732063923834,0.3264195851751105,0.0,-0.39999999999999997,-0.6208983451536642,2.2935224586288414,0.006705186496820059,0
0.5237691966083841,0.2671981988494945,0.2090326045421215,0.0,0.46666666666666673,0.7143498817966905,1.6900472813238772,-0.01017292881444487,0
0.22804037173978217,0.2833016888178275,0.48865793944239044,0.0,-0.5333333333333333,-0.9471867612293143,1.9925768321513002,-0.0041151209587753645,2
