match,lambda_home,lambda_away,pH,pD,pA,market_pH,market_pD,market_pA,odds_home,odds_draw,odds_away,n_bets,best_side,best_edge,best_ev,best_odds
tigres vs guadalajara,1.5689387878410013,0.8291057717419235,0.5365618628508558,0.2772672194610651,0.18617091768807903,0.4262295081967213,0.2754098360655738,0.29836065573770487,2.1,3.25,3.0,1,H,0.11033235465413455,0.1267799119867974,2.1
atlas vs cruz azul,1.0716896289355407,1.1893335486677943,0.3144860068632429,0.31252373765144015,0.37299025548531695,0.2173913043478261,0.2608695652173913,0.5217391304347826,4.2,3.5,1.75,2,H,0.0970947025154168,0.32084122882562016,4.2
toluca vs pachuca,2.4465584353245005,1.248405317540891,0.6295231192771098,0.1978033473319189,0.17267353339097152,0.5050505050505051,0.25252525252525254,0.2424242424242424,1.8,3.6,3.75,1,H,0.12447261422660472,0.1331416146987976,1.8
guadalajara vs tigres,1.5573664322427567,1.4215065876669315,0.39700711054917037,0.26588609651517436,0.33710679293565526,0.48862115127175376,0.2556894243641232,0.2556894243641232,1.91,3.65,3.65,1,A,0.08141736857153209,0.2304397942151417,3.65
cruz azul vs atlas,2.2088902165691224,1.1937414227664855,0.5950287343402751,0.21653329260124263,0.1884379730584823,0.6767653496140997,0.19870982605690585,0.12452482432899434,1.38,4.7,7.5,1,A,0.06391314872948797,0.4132847979386174,7.5
pachuca vs toluca,1.815258631873992,1.3274561287479938,0.47901328609914573,0.25020871579779647,0.2707779981030577,0.3380733944954128,0.2623853211009174,0.3995412844036697,2.6,3.35,2.2,1,H,0.14093989160373294,0.24543454385777896,2.6
pumas vs america,1.6039336948344782,1.7210607183856426,0.3510501795819094,0.24874365641332358,0.40020616400476716,0.3778844118269706,0.27831486839319736,0.3438007197798321,2.32,3.15,2.55,1,A,0.05640544422493504,0.020525718212156097,2.55
